video_urls,title,thumbnail_url,views,time_of_posting
https://www.youtube.com/watch?v=BdBQ2yfCW1g,"FOG, FOR ANNE GREGORY || Hindi Summary in 30 Minutes || Class 10th",https://i.ytimg.com/vi/BdBQ2yfCW1g/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDn9lCbz2YxFM1aU9YD-bJvNOA-fQ,64589,1 month ago
https://www.youtube.com/watch?v=Mdn3H8V-lKs,REPORTED SPEECH in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/Mdn3H8V-lKs/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCWr205692Oblwi-yIXZl7CkpH84Q,52964,1 month ago
https://www.youtube.com/watch?v=FKX5gq9L8do,How to Write Effective Answers in Exams?! || Strategy Wallah || PW Foundation,https://i.ytimg.com/vi/FKX5gq9L8do/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCqv8QNK2TRzSpNE00Lzir3LdAAPQ,129785,4 weeks ago
https://www.youtube.com/watch?v=5-h-Td7ScFA,REPORTED SPEECH - MOST Important Questions || Class-10th,https://i.ytimg.com/vi/5-h-Td7ScFA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAmjN--6cLJ9VXXGkQ_U7SlpUnz4Q,66585,1 month ago
https://www.youtube.com/watch?v=Q2tChfJPJ2I,POPULATION in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/Q2tChfJPJ2I/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBn-4Ma4NaUrB4ccLs7XLgkWmBCzw,40933,1 month ago
https://www.youtube.com/watch?v=ZdyGE7nwItI,FOR ANNE GREGORY - MOST Important Questions || Class-10th,https://i.ytimg.com/vi/ZdyGE7nwItI/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAyYH9tXOH2a50lmvu8NoG2BbkPig,18779,1 month ago
https://www.youtube.com/watch?v=Q3TjSP8zxec,IF I WERE YOU + A HOUSE IS NOT A HOME in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/Q3TjSP8zxec/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLA-uz42Znp6mi33Hf1rlbd6vqdaQw,43094,1 month ago
https://www.youtube.com/watch?v=32d-4jFB8QM,NATURAL VEGETATION in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/32d-4jFB8QM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLC1_0iN4YIVsPSAuv9lGYjmKc2IVw,29582,1 month ago
https://www.youtube.com/watch?v=9_u4xsh-2eg,THE BOOK THAT SAVED EARTH || Hindi Summary in 30 Minutes || Class 10th,https://i.ytimg.com/vi/9_u4xsh-2eg/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAZyE7kH8e39wZhe1eJOBg_en5i8w,110314,1 month ago
https://www.youtube.com/watch?v=9XZVFyy2jpU,DEMOCRATIC RIGHTS in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/9XZVFyy2jpU/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBsAh-TFcq1HSt7CiPHZfDo0U34wQ,50063,1 month ago
https://www.youtube.com/watch?v=TpKrjb2fNN4,FOG  - MOST Important Questions || Class-10th,https://i.ytimg.com/vi/TpKrjb2fNN4/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDAc-tXcQULATQoOZT9GjIFomqS-g,15274,1 month ago
https://www.youtube.com/watch?v=DOuWHj_kZVc,A SLUMBER DID MY SPIRIT SEAL in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/DOuWHj_kZVc/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAj5CE-yxrIHwzLcJgZ7K9YafA_gw,22219,1 month ago
https://www.youtube.com/watch?v=-nnNhzhV9QI,PASTORALISTS IN THE MODERN WORLD in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/-nnNhzhV9QI/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBM3wPuK1fyzqPaRMITQPVHhBsHNw,85033,1 month ago
https://www.youtube.com/watch?v=_fImK5teeBo,THE BOOK THAT SAVED EARTH - Most Important Questions || Class-10th,https://i.ytimg.com/vi/_fImK5teeBo/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBruv8_CCXjOPHFB3ROE9_5_PPboA,32137,1 month ago
https://www.youtube.com/watch?v=XW_PRHcHpsk,THE PROPOSAL || Hindi Summary in 30 Minutes || Class 10th,https://i.ytimg.com/vi/XW_PRHcHpsk/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBFlP-V8km8akbN8HEDExjsh7rEig,67801,1 month ago
https://www.youtube.com/watch?v=33hoxZTMheU,KATHMANDU + THE LAST LEAF in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/33hoxZTMheU/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAVUKxoQNq3eo1M9t3AlNNij26s_w,40052,1 month ago
